date,media,client_id,client_name,campaign_id,campaign_name,clicks,impressions,investment
22/08/2020,Verizon,36ed7484-0503-4de1-8673-6939fa0a0ce7,"Wolf, Casper and Schulist",EOBPXX-481,Fineleaf Fournerved Daisy,589,817,124.13
18/05/2020,Verizon,5ecb750a-a2f6-4781-af38-ab18efeb8532,"Mosciski, Block and Carroll",SMQSMK-647,Petunia,567,540,320.74
05/07/2020,Criteo,e86b4aa1-00fb-4c8f-84c5-20eb57475ae4,Mertz-Lind,SOGVWQ-288,Lecidella Lichen,559,632,562.29
01/01/2020,Percycle,19eb1bcb-236d-44c7-a305-7ab2d6d959d2,Kohler Group,MILYRN-776,Verbena,351,483,548.83
21/04/2020,Verizon,5ed0d0df-a20c-4704-bb52-de487310db80,Jacobi-Yundt,XVPSAH-308,Yellow Coralroot,482,379,627.86
20/04/2020,Percycle,fdbb7b74-cfc9-4b8b-86db-955b3fb17182,Runolfsson-Zboncak,YEUAFN-102,Yucatan Noddingcaps,577,349,759.15
11/08/2020,Percycle,10b67893-756f-490a-9bf4-9891d39b6967,Raynor and Sons,HKNDYC-100,Hawai'i Jadevine,166,493,453.79
02/05/2020,Twitter,0c33b4ca-60cd-4e7c-8377-79ede9e202b0,Greenfelder-Auer,OYEATX-108,Manyflower Marshpennywort,188,218,590.6
05/08/2020,Verizon,66804818-0a17-4b2c-b9a4-65f857349737,Schroeder LLC,VWZGHC-197,Max Chrysanthemum,126,211,781.56
01/01/2020,Google,2502b880-6019-431c-934c-a1a89a223ebf,"Torp, Kilback and Turcotte",KWBASQ-709,Bryoid Fissidens Moss,626,650,995.93
17/01/2020,Google,78abd9c8-d38b-4c2b-b453-b0430a8d394c,"Herzog, Barton and Kuhic",COGZUV-628,Inchhigh Lupine,63,985,148.48
18/01/2020,Verizon,2409714b-1026-4fc4-9e15-f340c149c6bf,"Bins, Abshire and Von",LQAKHH-642,Michaux's Stitchwort,847,719,752.77
16/05/2020,Verizon,e59f1443-6fea-49d0-86bb-1710e38cd459,Dibbert-Medhurst,JDMILX-842,Guayabacon,946,50,228.11
02/07/2020,Percycle,fb02a4c7-8383-4222-af77-8a40cf976033,Mills-Pollich,MQVJDP-360,Canary Island Date Palm,329,655,852.8
14/08/2020,Twitter,55fd267e-9d25-4a2f-ae0b-017d6df5ccc7,"Smith, Bashirian and Nienow",DZRLLB-518,Blushing Wild Buckwheat,411,539,871.52
14/06/2020,Twitter,839ecec0-3515-49e9-9de5-036cb9a8955b,Pfannerstill and Sons,HJWLMS-773,White Upright Mignonette,916,759,482.84
29/03/2020,Facebook,50427c7d-beca-4c63-a0a9-21def25ac5e9,Stark Inc,EYLPOF-485,Lithographa Lichen,210,75,573.64
31/07/2020,Google,0a7f9997-fb3b-49f7-a62a-d29e75da322b,"Boyle, Aufderhar and Koss",PERLQP-555,Alpine Oatgrass,562,656,836.93
14/02/2020,Percycle,5abe0cca-6441-4075-a360-860d26702b26,Denesik Group,LDDNNC-067,Veiny Skullcap,482,835,188.68
27/08/2020,Verizon,b693adb5-762c-45fd-9af2-c29f91c7b9cb,Johns Group,EGZJHQ-434,Scarlet Globemallow,819,213,512.65
12/07/2020,Twitter,37e999a4-fcac-4770-a92a-f63437e3a84c,"Hamill, Leannon and Kris",IQJAGB-150,Acroceras,75,144,669.7
10/08/2020,Google,c1d5cad3-5543-4e37-9455-ad43653752ff,Smitham Inc,KCIRYK-482,Lake Quillwort,448,561,518.29
28/02/2020,Google,ab1f763c-a633-49ef-8f49-49e4022ecd5e,Sipes Group,NYPDYJ-082,Florestina,355,710,943.47
01/06/2020,Twitter,4344600f-4792-446e-b28a-737cde3c01a7,Harvey-Tillman,JKEFMC-437,Reese's Fissidens Moss,445,700,565.88
10/07/2020,Percycle,cf6b918a-b84b-48df-9333-fd4d9b7f4cee,Hackett Group,TRLPJQ-438,Softleaf Rosette Grass,257,957,845.08
08/04/2020,Google,45d45212-f3af-4c80-ab94-fda0969d30ba,Bosco Group,EOHEBZ-562,Hibiscus,881,625,96.77
05/08/2020,Verizon,dd34a264-6ba7-4f0e-96fc-c1a274d9470a,Jaskolski LLC,XMIUCA-574,Nakedstem Sunray,94,307,199.34
13/06/2020,Twitter,b68fee17-6c3e-48d1-a71f-9873176840ff,Steuber Group,DJRKIQ-059,Fendler's Meadow-rue,488,567,908.5
03/02/2020,Criteo,dce18ff0-5e39-40fe-9d41-feff022fc3d5,Kub Inc,HHTNQR-523,Texas Wrightwort,456,283,978.18
23/06/2020,Percycle,e284c168-0fc1-40e2-9784-366c1bd77fac,"Franecki, Renner and Bailey",ZXJTYY-671,Comparettia,368,227,219.88
11/07/2020,Twitter,750c9fa6-f3eb-4623-97c3-4f23b7490ae7,O'Hara-Trantow,XEJJFE-940,Common Crupina,111,761,607.68
01/06/2020,Criteo,2efa961d-96aa-4e37-937d-5e2a49dbfd39,King and Sons,HURHLH-309,Polynesian 'ohe,220,199,725.19
14/05/2020,Verizon,83581f5e-8d12-44e8-bb82-0e70713a7155,"Mayert, Stroman and Maggio",CJGPEZ-194,San Francisco Campion,199,787,247.85
28/07/2020,Facebook,73219cdb-63c0-4430-baf6-2669fc40ad77,"Johns, Reichert and Crooks",TMVNZJ-716,Wart Lichen,982,917,500.38
17/02/2020,Google,94ba9c7f-1a4b-49fa-a29f-66b32bcf5f18,Rohan-Wiza,QDXQFO-435,Bejuco Prieto,222,610,548.7
03/02/2020,Percycle,6e903a19-b446-477b-91cf-a8278059febd,Rodriguez-McClure,MFMQSQ-038,Brewer's Redmaids,768,61,321.7
11/02/2020,Verizon,7193e3e1-ba87-48bf-b376-14666daf2636,Lindgren Group,GAORGN-198,Chinese Holly,401,594,334.21
22/02/2020,Criteo,6c8463bc-bf9e-48a7-87f4-ed7c16ffad31,"Jerde, Hoppe and Boyer",TMRFTJ-002,Zygodon Moss,290,918,739.21
04/02/2020,Percycle,752883b9-1f88-4a11-8489-39fd209c754a,"Leannon, Kerluke and Towne",PHNUNJ-252,Poison Hemlock,112,618,633.79
05/03/2020,Criteo,6a129ba6-0f13-4a95-9cc1-68358b04b2d1,Hoeger Group,ZPMKVN-994,Alkali Milkvetch,140,44,843.85
16/07/2020,Percycle,07cf47f1-528f-4597-87b2-eec078352c1d,"Rowe, Bernhard and Botsford",PLDUYO-795,Narrowleaf Arnica,553,972,382.83
08/02/2020,Verizon,f8bfaeef-a4ea-47ac-8b5e-124b628d0070,"Anderson, Rutherford and Pfeffer",ZUEKEI-057,Peirson's Serpentweed,885,42,235.58
20/04/2020,Facebook,1dd173aa-0113-4945-9976-6900e65438f5,"Feeney, Douglas and Homenick",AKIUMP-883,Labrador Buttercup,457,162,988.3
20/05/2020,Twitter,750188d1-b123-4f68-9824-82468298175f,Bernhard-Herzog,VZNJXT-664,Monarch Fern,861,193,343.27
04/06/2020,Facebook,0fe0d955-91ba-4452-8cd4-d2aa70603710,Bednar-Weimann,PXBKQJ-579,Beet,401,796,263.37
10/08/2020,Google,6ff83460-3d7a-466c-b838-2e744996ccc3,"Rohan, Walsh and Marvin",SVQTZR-723,Hippomane,943,934,174.68
30/04/2020,Criteo,b51132b4-f125-4c5b-8c00-ed8ca5f07bba,Kuvalis-O'Keefe,KYCZBT-351,Sand Sedge,600,669,500.24
15/06/2020,Criteo,7b8a8dc1-f49c-4d0a-b279-2a167018971e,Hickle-Mayert,GEYQMQ-006,Pink Mock Vervain,219,194,366.22
10/02/2020,Percycle,382e01e4-63e7-419c-a1a2-da8a380ee99a,O'Hara Inc,CTOIVK-643,Dotted Lichen,344,475,735.75
01/06/2020,Twitter,50096081-4faa-4214-bf53-b6834c517d1f,Heathcote-Herzog,FNBHBL-466,Xylographa Lichen,85,21,929.09
29/06/2020,Google,2b0c42eb-a73b-46a2-80be-e227ea65b609,"Marvin, Braun and Corkery",DGERQZ-515,Macdougal Verbena,163,544,157.79
24/07/2020,Percycle,a48239a3-4748-4d91-82df-f8c31e279c9f,"Mohr, Rutherford and Nader",AFDDKO-450,Islandthicket Threeawn,315,503,99.92
29/04/2020,Percycle,fcccd038-1ec6-425e-aac0-83b51178e383,Hilpert Group,TWLDTC-125,Spotted Lupine,64,698,38.13
05/06/2020,Criteo,b330c042-beda-4078-8899-91d90d17ab73,"Ratke, Mertz and Waters",UOZDIT-573,Persian Ironwood,501,337,400.2
08/02/2020,Percycle,39164a4c-b387-4def-8e49-d544cb92c9f9,"Jenkins, McLaughlin and Ullrich",AEYVAD-105,Italian Gladiolus,478,33,216.7
29/05/2020,Twitter,2b1500c5-b7c7-41fb-973b-4fe1cd7523ed,Will-Lebsack,KYFXGE-265,Tuna,764,875,478.73
09/04/2020,Twitter,e0555bec-6be5-4d09-8a9e-fc0b0d4344f9,"Veum, Ward and Rath",RQCURP-218,Allegheny Monkeyflower,766,20,606.84
02/04/2020,Percycle,da69e044-7875-4a50-909b-fee885ee219f,"Klein, Goldner and Flatley",DGSPSV-323,Stemless Mock Goldenweed,68,855,874.09
22/08/2020,Google,4598b4fa-5a17-40b9-86d0-636434f70f90,White-Keeling,ARGRSW-142,Algerian Ivy,295,644,650.21
05/03/2020,Twitter,b5775d8a-81e4-4b81-8a7d-e8f6f22f3825,"Watsica, Carter and Funk",KBAEDE-955,Willowleaf Aster,360,95,571.77
10/02/2020,Facebook,6c197f8c-66b1-4526-8258-067e9d34318b,Reichert-Kulas,GRFNCO-992,Caucasian Hackberry,734,893,802.4
08/08/2020,Google,0fbf493a-7f97-4704-b2f5-a2885ac8d35b,Carter Group,MGGXVX-662,Parish's Broomrape,949,553,300.53
02/02/2020,Criteo,2dbdec6d-e0a6-4a30-9af6-8641b0228214,Breitenberg LLC,TTWJAQ-154,Distinct Map Lichen,906,156,649.15
31/03/2020,Google,a1c200aa-82b8-4f2a-a0ef-059de1e0b4c1,Stokes Group,OMWCSL-163,Neckeropsis Moss,135,753,401.06
22/02/2020,Google,43fe0f38-440c-48e9-b1a9-dd5a6d6a608f,Franecki Group,CTOYUS-271,Openground Draba,685,484,258.21
14/02/2020,Facebook,3d5ab28e-9aae-49b0-aa19-c253b2ea71b9,Kuhlman-Swaniawski,HPMIAX-077,Koko,358,797,610.49
04/04/2020,Facebook,147b4b84-317a-4948-bb1b-65a7d8fd5d95,Kiehn-Rohan,QPZAKQ-590,Catechu Tree,457,107,370.02
07/06/2020,Facebook,65a13e98-d774-4973-b60b-4002c74a3189,Wolf-Turcotte,FXMKOX-184,Nevada Lewisia,85,389,10.57
08/06/2020,Google,0d09290f-a9c6-4a70-a597-e6d3806836f8,Treutel-Klein,PIFSDR-812,Golden Mock Orange,262,32,713.17
26/02/2020,Twitter,aff344fc-b906-416a-b05c-f965f75de2a4,Hagenes LLC,LWPSQG-300,Carrion-flower,715,287,631.94
23/05/2020,Twitter,e291ffde-b88f-4f55-9e05-8a89d1b20a02,Runolfsdottir LLC,BQKXED-251,Chromatochlamys Lichen,258,856,833.3
08/02/2020,Criteo,a86db3a2-df01-4138-9229-2ad9d1906936,O'Kon LLC,HPPNWD-410,Orange Wall Lichen,927,874,709.65
29/06/2020,Criteo,b3ab8aa5-e82d-4c7d-8ce8-3383075858bf,"Wisoky, Ryan and Wunsch",FNWQZB-287,Fontinalis Moss,415,213,21.5
11/04/2020,Facebook,d69b4802-625f-403e-b263-b5f2fb46c6bc,"Schmidt, Kuhlman and Goldner",EKQMAU-604,Dicranella Moss,152,963,52.98
04/02/2020,Verizon,4b859ae6-71d2-48f6-8510-f42f6010f236,"Schowalter, Conn and Eichmann",YCOWQO-243,Tarweed,986,805,410.45
26/01/2020,Criteo,70a953c3-af4a-4e4f-875c-b2bb6fa8032d,Cormier-Kunze,TIROJM-233,Orange Lichen,585,602,345.41
13/07/2020,Criteo,cdb9f157-09f6-443e-a76c-323c4d5b56f0,"Sawayn, Mitchell and Rowe",FSLCFI-047,Koi,831,911,117.4
01/07/2020,Google,839124e9-cac5-490f-bed5-e244af86b734,Schneider LLC,KJRIII-480,Tapertip Spleenwort,619,689,604.8
07/08/2020,Twitter,467b71d1-7c4d-425a-96ca-bd21f9ef331b,Hackett Group,OJOBWX-164,Nealley's Sprangletop,461,527,154.63
29/01/2020,Twitter,95c73ffd-1fb3-4e77-926c-38d902736806,"Eichmann, Olson and Christiansen",YMSVEW-196,California Scleropodium Moss,39,225,317.34
28/07/2020,Criteo,8bde14c4-d076-475b-94ff-877186f40d0a,Fritsch-Powlowski,RUMDEC-425,Elliott's Yelloweyed Grass,681,876,609.23
30/05/2020,Facebook,85c71198-5107-4a60-a1e1-25e93ed32855,Hamill Group,QYKCOH-033,Lewis' Evening Primrose,490,863,640.56
09/03/2020,Facebook,a58e6c7e-2d94-4c48-a6b0-6b01417bd6e2,"McCullough, Fay and Schowalter",EKBCFR-368,Jelly Lichen,346,30,781.81
14/03/2020,Percycle,65005124-bb60-41ad-be99-6c444b781280,"Skiles, Watsica and Cruickshank",QEJSAZ-292,Swamp Blackberry,812,430,245.13
04/06/2020,Facebook,175d1a91-8c59-4869-a429-2105f95711e8,Stroman and Sons,XLSMCS-639,Island Cetraria Lichen,263,345,260.53
13/06/2020,Verizon,79950778-3c3a-40e5-a4b3-561a2b3db971,Schneider-Hermiston,JNYXLX-229,Maluco,695,993,245.64
07/06/2020,Verizon,4457917f-526b-4cf0-a613-8c6518845694,"O'Conner, Abbott and Hintz",EBWROH-385,Fremont's Chaffbush,31,167,513.5
01/01/2020,Twitter,3cb7775f-ed01-432e-afee-febe9d29e246,Wiza Inc,KZPQRP-326,Schott's Stickpea,342,550,436.98
02/04/2020,Google,5e025adf-ccdc-43f8-92e8-2ecf86c30cc8,Christiansen and Sons,JBUJCV-896,Wheeler's Disc Lichen,125,830,993.66
28/02/2020,Verizon,252313fd-70ae-4859-9bc1-331d036a856a,"Marks, Rath and Lowe",XJJECI-148,Mertens' Rush,602,243,393.74
13/04/2020,Criteo,c656a277-390c-4fc4-87f2-4c4aaa534aad,Schowalter-Hane,UYQXIM-846,Estrella De Mar,432,523,825.23
08/03/2020,Percycle,779e6f2e-3a44-42ac-b3df-54f90f2f88f0,"Hermann, Fisher and Schaden",OWWZXH-505,Ragleaf Bahia,667,935,32.9
13/02/2020,Twitter,febfcb68-c8b8-4fdc-becd-82e356503844,Durgan-Homenick,XZVWRJ-421,Garland-flower,62,889,107.41
20/05/2020,Percycle,24799730-d73c-40ec-b3f1-268e864db41c,Reinger-Kertzmann,MLWBFW-820,Long-hair Silverscale,492,58,898.96
13/07/2020,Google,60279ab9-a61b-43c1-9c68-1c340da57c55,Zulauf and Sons,LKOMCJ-769,Desmatodon Moss,551,341,110.87
01/04/2020,Twitter,d8a7a228-4d3a-4c9e-bafc-c17a1c81b86c,Lakin LLC,EAXLHL-258,Prairie Crab Apple,119,853,561.88
10/08/2020,Percycle,868367ed-3a1b-44f3-ac5e-f4b12d8745df,O'Hara LLC,CQDWHJ-788,Callingcard Vine,136,377,599.03
10/03/2020,Twitter,df5d23d6-1525-43a3-aacd-1e1ce346c083,Crist-Ziemann,KIFLON-897,Cornflag,634,821,894.09
21/04/2020,Facebook,4174f9ba-b15f-4c9c-bff5-d6633fe84809,"McKenzie, Durgan and Jacobson",XHJAHX-213,Bigleaf Aster,398,131,497.54
13/04/2020,Twitter,cdbd8e2e-c150-465d-b0e7-91712d32d68e,Crooks-Hane,GLHGTI-281,Sandhill's Blazing Star,371,352,886.4
05/05/2020,Percycle,c41f639d-6c09-4854-b0a0-be2f3ec5ef21,"Lynch, Mitchell and Bruen",IUWIYK-991,Eelgrass,822,22,448.66
22/08/2020,Facebook,0cfe633b-c305-457f-acb6-e64584df99d4,"Hills, Ortiz and Wiegand",MOHVME-656,Redstem Purslane,388,378,608.12
29/07/2020,Criteo,726c526a-18a7-49f7-8b7a-96c8de7e8501,Kessler LLC,XPFAME-254,Slash Pine,886,628,577.15
16/01/2020,Facebook,91e09747-4761-4a64-aab9-c3f7fd15b5c5,Lang Inc,DBFMHA-441,Fox Sedge,741,980,460.89
23/01/2020,Verizon,a8519023-5efc-4726-b6b1-d2a78120a0bc,Mosciski-O'Reilly,IDTGDL-201,Whorled Marshpennywort,247,410,781.15
19/07/2020,Percycle,3d3b91de-5432-4ab7-bfb0-c4b4f620be53,Koch-Cummerata,GBIKQK-054,Carolina Maronea Lichen,204,553,512.92
19/08/2020,Percycle,2178d6b1-5c69-44ae-8bc8-63bf11c9cedf,Crooks-Carter,SORHGW-041,Blue Mountain Buttercup,730,242,131.5
07/05/2020,Google,fca3f03d-4390-4777-ab15-d723d64cfdd7,Bauch-Langosh,JYRSZW-001,Parish's Rabbitbrush,26,301,964.13
29/01/2020,Google,2cfdfd33-e797-4b18-805c-55cbc1065c6a,Swaniawski-Weimann,UUICAX-601,Senna,200,413,754.02
24/06/2020,Facebook,59c1111b-ff4f-437c-bcdc-aecfe20a9d4e,"Gleichner, Emmerich and West",ZUYDKE-362,Pinyon Dwarf Mistletoe,653,530,42.6
01/04/2020,Facebook,d41fc19c-ac37-4c0d-bed6-46e5201ba2f1,Zboncak and Sons,LRTHJJ-235,Doll's Daisy,811,78,918.53
23/07/2020,Facebook,41c6ea6d-60a8-48e3-a065-80427e1fdae6,Towne Group,KIQDUY-765,Cochise Dodder,877,679,138.78
06/07/2020,Percycle,4c65d1cd-a601-4dd7-bed1-5c7b7da2b706,"Schuppe, Gaylord and Muller",FDBVRJ-165,Sixweeks Prairie Clover,912,205,167.73
15/01/2020,Twitter,2d937647-f837-4522-b8a7-b3193601eee6,"Heathcote, Okuneva and Bergnaum",RQGMFD-860,Round Cardamom,688,233,777.2
08/05/2020,Facebook,f77ef41f-23e7-4117-98bb-20216a2787ef,"Wilkinson, Schultz and Hamill",MZQSRY-804,Confederate Spiderwort,188,512,895.37
21/04/2020,Percycle,ff0ae757-4a63-4dbd-b24e-922fa95258d0,"Zemlak, Wisoky and Brown",XUIRXZ-016,Maricao Pricklyash,143,483,477.8
19/03/2020,Criteo,9e1fc5e4-85bc-470f-bdda-db00f52463c6,Hodkiewicz LLC,VTPLUY-221,Larkspur,717,61,590.48
09/04/2020,Google,e973e147-1ee8-4194-a30d-984be40d0da7,Wiegand-Cormier,IRDHCI-838,Toothed Spurge,430,445,161.43
21/04/2020,Twitter,c8dee8ad-45f3-46b3-8698-5de73746e2cf,"Marquardt, Skiles and Roob",WKKWJQ-639,Bridle Buckwheat,176,677,749.02
27/07/2020,Facebook,2296465b-18a5-464e-9218-056b4fe045cf,Weber LLC,FWQGKL-734,Dot Lichen,579,810,680.86
16/04/2020,Google,8aced2dd-0b19-4ab0-8f62-27127265e6a0,Hudson Group,WOLNIN-478,Elliott's Milkpea,308,592,631.86
24/04/2020,Percycle,7fc66e7f-1e9d-4811-a283-0639a75fd39b,Shields-Hoeger,UIBAMH-477,Parry's Saltbush,88,145,360.86
22/07/2020,Percycle,a7364f1e-e875-48aa-851d-3bfb64c698ac,Vandervort and Sons,RCGWEM-414,Guyandotte Beauty,246,647,826.98
04/06/2020,Percycle,10bae24f-78a5-45ac-a0b0-89125d4d9a4a,Kuphal Group,WZPFEF-497,Slender Goldenweed,337,183,102.35
30/01/2020,Google,31f7aa84-a238-4677-ad88-fce73446fe70,VonRueden-Mraz,MCZNKF-413,Sakaki,440,92,291.65
04/01/2020,Percycle,24c7f1c7-7a6d-4397-946f-ca7937cdc53b,"McCullough, Wehner and Stark",TTNUYE-051,Relicina Lichen,794,952,540.63
02/06/2020,Google,c955a0de-4e07-4339-b473-c82556059e63,"Brown, Boyle and Veum",FYLIQS-928,Sedge,926,46,904.88
02/06/2020,Criteo,4c0ce60b-14de-4370-9303-4745a0db9842,Upton-Armstrong,FHULLH-981,Dwarf Arctic Ragwort,858,324,450.96
14/08/2020,Google,d6a82eea-29b8-4bf1-af14-f604ed414a25,"Cummerata, Bauch and Bechtelar",YFKCTZ-745,Cayenne Pepper,552,918,982.36
14/08/2020,Facebook,d6b78fdb-ecd7-43e7-b7f9-f892523ff246,Glover Inc,NKZTRP-898,Lija,842,178,665.34
31/07/2020,Twitter,941f9093-e2a7-447e-acdb-b1672aedb3d0,Block LLC,GPUTSA-765,Red Brome,752,11,696.32
04/01/2020,Percycle,5f88b94a-3e0d-4f60-abbe-cdfa42f7fc6e,"Robel, Bauch and Huels",DDHVYE-053,Dense False Gilyflower,679,426,440.62
19/06/2020,Google,4cb49c67-0ce3-4eec-adc5-61cf9d11e41b,Effertz and Sons,RFIJDO-162,Hybrid Oak,294,976,807.9
19/08/2020,Verizon,53401b93-bbd0-4945-ad09-fe71d361b49d,"Cronin, Cronin and Cummings",FLSPBY-171,Alsike Clover,179,578,401.14
08/06/2020,Twitter,efbcc31e-c460-40bb-8822-20374d1c7062,"Rippin, Rutherford and Kling",EGJGHH-467,Dense Blazing Star,515,592,312.77
16/04/2020,Facebook,59ce6411-801e-4cc7-8184-b162b86d6852,Gusikowski LLC,EUUCSC-398,Red Fescue,642,316,892.33
10/06/2020,Percycle,15199462-328f-40c7-ad56-fb7b9665b368,"Weissnat, Herzog and Bailey",LRTSAC-212,Threetip Sagebrush,750,502,168.13
14/04/2020,Verizon,25eb9888-40da-47f3-a4e7-54e81d2d0759,Waelchi-Fisher,DDFPCY-074,Garrett's Florida Pineland Spurge,263,945,58.51
06/07/2020,Facebook,6a992914-57ce-4484-9a51-19097622798a,"Zulauf, Romaguera and Jones",OMUBRT-395,Southwestern Pleatleaf,804,621,853.33
13/05/2020,Twitter,7c8c2f5a-d518-4616-8b69-ff5dd81c5f94,Franecki-Reichel,JOPHDL-875,Devil's Beggartick,432,22,394.72
29/01/2020,Verizon,92ea92c7-1c79-4897-9aeb-dd5549adff39,"Abbott, Schuppe and Fahey",TSWWFK-639,Woolly Mule-ears,34,872,358.33
11/07/2020,Percycle,9c757ffd-2d45-4839-9441-6ba478068673,Christiansen-Wisoky,OPWPWJ-965,Boquillas Sandmat,334,323,589.86
31/03/2020,Twitter,00cebb4a-e59b-4f82-b6a7-e11477c7dfcc,Bernhard Inc,CCHXGO-043,Lyall's Rockcress,459,303,500.75
29/08/2020,Verizon,9a5c329c-227c-46e6-8b64-1b8fb68860c3,Mills-Langosh,AEOKSS-446,Roland's Seablite,53,38,667.72
31/05/2020,Criteo,5bd44bdb-38bd-47e1-94f6-17abef0c21e0,Towne LLC,LJTKGD-260,New England Blackbutt,896,750,727.69
27/01/2020,Facebook,628810f3-e61b-47dc-af10-5324ff5271bb,"Cremin, Gleichner and Smitham",VCTNDS-553,Doum Palm,735,762,486.36
02/06/2020,Criteo,61def9a7-f420-4787-8a14-e389f045566a,Corwin Group,KBKJVI-483,American Hogpeanut,56,278,783.81
24/05/2020,Google,61872096-ebef-4d41-ae1e-4f2badeab594,"Stroman, McLaughlin and Jerde",IKAYXP-140,Joshua Tree,145,643,237.11
12/04/2020,Percycle,bc54cc94-61ac-430e-b23f-39585e96928d,Bradtke-Schneider,HSLIUM-195,Desert Mountain Mock Orange,55,27,569.83
28/06/2020,Twitter,e85ad0d7-24fe-4d45-b3ee-f03e1d86135e,"Hamill, Satterfield and Breitenberg",VXTHTF-034,Low Silverbush,988,351,439.47
27/05/2020,Percycle,1fe87647-f094-4433-a61c-567f1a00f3aa,Wuckert Group,CKSLCK-872,Cushion Buckwheat,631,305,617.32
18/02/2020,Verizon,a9de6faf-3fc0-4b8d-a51f-11e453485783,"Reynolds, Ebert and Bosco",MEHOZX-085,Narrowleaf Hoarypea,633,965,953.25
20/01/2020,Google,9d4f5b82-67db-457d-9528-4491f56c6ae8,"Monahan, Doyle and Davis",ZSKQHW-957,Pale Nitrogen Moss,998,749,113.81
13/03/2020,Facebook,b82382d5-9c9e-442b-962f-9f28ecd077d4,Kreiger Group,RFEKTR-843,Topeka Purple Coneflower,159,178,323.97
25/03/2020,Twitter,c11482d3-257b-4a48-baa8-127cd6995a3b,Littel-Wunsch,DEDYET-450,Blue Waterhyssop,412,661,397.56
24/02/2020,Facebook,47d7517c-9266-40ab-8645-66a9902bd9f1,"Casper, Hodkiewicz and Kling",YLDKWC-028,San Luis Obispo Serpentine Dudleya,582,739,327.94
21/04/2020,Facebook,f5b39454-6b1d-4a7f-963b-57a7e6828354,"Wisozk, Murazik and Treutel",ZFZKAQ-277,Engelmann's Hedgehog Cactus,49,378,850.46
